# cobalt, G_ep from spin-resolved DFT, sum of majo and mino G_ep, calculations by Jan Vorberger
# T [K] 	   G_ep [W/(m^3K)]
   6.4352500e+03   3.9581076e+18
   6.4595000e+03   3.9587429e+18
   6.4837500e+03   3.9588557e+18
   6.5080000e+03   3.9595659e+18
   6.5322500e+03   3.9572230e+18
   6.5565000e+03   3.9583114e+18
   6.5807500e+03   3.9586855e+18
   6.6050000e+03   3.9584524e+18
   6.6292500e+03   3.9583129e+18
   6.6535000e+03   3.9579588e+18
   6.6777500e+03   3.9289038e+18
   6.7020000e+03   3.9380743e+18
   6.7262500e+03   3.9571996e+18
   6.7505000e+03   3.9567617e+18
   6.7747500e+03   3.9527244e+18
   6.7990000e+03   3.9521140e+18
   6.8232500e+03   3.9515449e+18
   6.8475000e+03   3.9544668e+18
   6.8717500e+03   3.9537950e+18
   6.8960000e+03   3.9530819e+18
   6.9202500e+03   3.9523293e+18
   6.9445000e+03   3.9515146e+18
   6.9687500e+03   3.9656058e+18
   6.9930000e+03   3.9497040e+18
   7.0172500e+03   3.9487657e+18
   7.0415000e+03   3.9477537e+18
   7.0657500e+03   3.9546095e+18
   7.0900000e+03   3.9632896e+18
   7.1142500e+03   3.9445737e+18
   7.1385000e+03   3.9434314e+18
   7.1627500e+03   3.9434460e+18
   7.1870000e+03   3.9615199e+18
   7.2112500e+03   3.9371355e+18
   7.2355000e+03   3.9384310e+18
   7.2597500e+03   3.9371157e+18
   7.2840000e+03   3.9357269e+18
   7.3082500e+03   3.9344462e+18
   7.3325000e+03   3.9344615e+18
   7.3567500e+03   3.9359045e+18
   7.3810000e+03   3.9297770e+18
   7.4052500e+03   3.9286853e+18
   7.4295000e+03   3.9270725e+18
   7.4537500e+03   3.9254240e+18
   7.4780000e+03   3.9237464e+18
   7.5022500e+03   3.9220401e+18
   7.5265000e+03   3.9203056e+18
   7.5507500e+03   3.9185297e+18
   7.5750000e+03   3.9167248e+18
   7.5992500e+03   3.9144034e+18
   7.6235000e+03   3.9125566e+18
   7.6477500e+03   3.9106641e+18
   7.6720000e+03   3.9076417e+18
   7.6962500e+03   3.9060001e+18
   7.7205000e+03   3.9036157e+18
   7.7447500e+03   3.8725855e+18
   7.7690000e+03   3.8700029e+18
   7.7932500e+03   3.8905436e+18
   7.8175000e+03   3.8647653e+18
   7.8417500e+03   3.8906170e+18
   7.8660000e+03   3.8873585e+18
   7.8902500e+03   3.8843931e+18
   7.9145000e+03   3.8810041e+18
   7.9387500e+03   3.8775377e+18
   7.9630000e+03   3.8737085e+18
   7.9872500e+03   3.8697794e+18
   8.0115000e+03   3.8657912e+18
   8.0357500e+03   3.8617862e+18
   8.0600000e+03   3.8559551e+18
   8.0842500e+03   3.8525616e+18
   8.1085000e+03   3.8481880e+18
   8.1327500e+03   3.8439170e+18
   8.1570000e+03   3.8438200e+18
   8.1812500e+03   3.8434435e+18
   8.2055000e+03   3.8433991e+18
   8.2297500e+03   3.8433610e+18
   8.2540000e+03   3.8562574e+18
   8.2782500e+03   3.8395096e+18
   8.3025000e+03   3.8363171e+18
   8.3267500e+03   3.8352027e+18
   8.3510000e+03   3.8329283e+18
   8.3752500e+03   3.8305913e+18
   8.3995000e+03   3.8281979e+18
   8.4237500e+03   3.8256602e+18
   8.4480000e+03   3.8232429e+18
   8.4722500e+03   3.8207751e+18
   8.4965000e+03   3.8182912e+18
   8.5207500e+03   3.8152815e+18
   8.5450000e+03   3.7468776e+18
   8.5692500e+03   3.8078016e+18
   8.5935000e+03   3.8039665e+18
   8.6177500e+03   3.8001011e+18
   8.6420000e+03   3.7960870e+18
   8.6662500e+03   3.7922550e+18
   8.6905000e+03   3.7882752e+18
   8.7147500e+03   3.7843460e+18
   8.7390000e+03   3.7802843e+18
   8.7632500e+03   3.7763157e+18
   8.7875000e+03   3.7723289e+18
   8.8117500e+03   3.7683325e+18
   8.8360000e+03   3.7643884e+18
   8.8602500e+03   3.7604301e+18
   8.8845000e+03   3.7307757e+18
   8.9087500e+03   3.7268486e+18
   8.9330000e+03   3.7208570e+18
   8.9572500e+03   3.7445893e+18
   8.9815000e+03   3.7404668e+18
   9.0057500e+03   3.7363328e+18
   9.0300000e+03   3.7321863e+18
   9.0542500e+03   3.7281977e+18
   9.0785000e+03   3.7242618e+18
   9.1027500e+03   3.7203105e+18
   9.1270000e+03   3.7163842e+18
   9.1512500e+03   3.7125115e+18
   9.1755000e+03   3.7086927e+18
   9.1997500e+03   3.7048635e+18
   9.2240000e+03   3.7012238e+18
   9.2482500e+03   3.6972607e+18
   9.2725000e+03   3.6939681e+18
   9.2967500e+03   3.6912758e+18
   9.3210000e+03   3.6885724e+18
   9.3452500e+03   3.6859077e+18
   9.3695000e+03   3.6832914e+18
   9.3937500e+03   3.6806753e+18
   9.4180000e+03   3.6780097e+18
   9.4422500e+03   3.6754142e+18
   9.4665000e+03   3.6727528e+18
   9.4907500e+03   3.6701152e+18
   9.5150000e+03   3.6674383e+18
   9.5392500e+03   3.6647502e+18
   9.5635000e+03   3.6620257e+18
   9.5877500e+03   3.6592940e+18
   9.6120000e+03   3.6565558e+18
   9.6362500e+03   3.6538111e+18
   9.6605000e+03   3.6638999e+18
   9.6847500e+03   3.6481323e+18
   9.7090000e+03   3.6452840e+18
   9.7332500e+03   3.6424280e+18
   9.7575000e+03   3.6395980e+18
   9.7817500e+03   3.6367936e+18
   9.8060000e+03   3.6339097e+18
   9.8302500e+03   3.6310940e+18
   9.8545000e+03   3.6282760e+18
   9.8787500e+03   3.6255694e+18
   9.9030000e+03   3.6227693e+18
   9.9272500e+03   3.6201289e+18
   9.9515000e+03   3.6174203e+18
   9.9757500e+03   3.6151564e+18
