Ab initio lattice heat capacity of accoustic phonons from Sukanyas monolayer DFT
Temperature [K]	C_p [J/m^3K]
747	278658.94800216873
748	278659.9158254456
749	278660.87977691705
750	278661.83987735305
751	278662.7961471838
752	278663.7486067629
753	278664.69727609656
754	278665.64217571676
755	278666.58332502324
756	278667.52074422286
757	278668.4544528342
758	278669.38447052037
759	278670.3108165287
760	278671.2335103126
761	278672.15257081226
762	278673.06801745767
763	278673.97986887384
764	278674.8881439124
765	278675.7928612241
766	278676.6940395461
767	278677.59169687366
768	278678.48585217126
769	278679.37652300135
770	278680.26372776483
771	278681.14748442644
772	278682.0278106606
773	278682.9047242684
774	278683.7782430275
775	278684.6483840572
776	278685.51516522723
777	278686.3786033689
778	278687.2387158931
779	278688.09551977593
780	278688.94903199683
781	278689.7992693187
782	278690.64624862233
783	278691.4899862952
784	278692.33049912483
785	278693.16780325456
786	278694.0019150985
787	278694.83285112056
788	278695.66062691435
789	278696.48525872396
790	278697.3067626644
791	278698.12515415566
792	278698.9404491681
793	278699.752663197
794	278700.5618117318
795	278701.3679100926
796	278702.1709739002
797	278702.9710178997
798	278703.7680575683
799	278704.56210792356
800	278705.3531835446
801	278706.1412996587
802	278706.92647078895
803	278707.7087117926
804	278708.4880370202
805	278709.2644608526
806	278710.03799788584
807	278710.8086623671
808	278711.57646868186
809	278712.34143037675
810	278713.1035621184
811	278713.86287736293
812	278714.6193902936
813	278715.37311474094
814	278716.12406382675
815	278716.8722517557
816	278717.6176918202
817	278718.3603974593
818	278719.10038201907
819	278719.83765863813
820	278720.5722409855
821	278721.3041415597
822	278722.03337374487
823	278722.7599505362
824	278723.4838845231
825	278724.2051888061
826	278724.92387593305
827	278725.63995859533
828	278726.3534493117
829	278727.064360639
830	278727.7727050107
831	278728.4784946172
832	278729.18174186506
833	278729.8824588828
834	278730.58065809065
835	278731.2763508828
836	278731.9695498341
837	278732.6602666202
838	278733.3485130324
839	278734.03430093464
840	278734.7176419354
841	278735.39854761504
842	278736.07702987804
843	278736.75309968257
844	278737.42676889827
845	278738.09804848675
846	278738.7669501103
847	278739.4334847765
848	278740.0976635388
849	278740.7594977008
850	278741.41899821727
851	278742.0761760263
852	278742.73104208166
853	278743.3836070109
854	278744.0338816556
855	278744.6818768844
856	278745.32760334044
857	278745.9710714024
858	278746.6122914523
859	278747.25127443275
860	278747.8880303736
861	278748.5225697792
862	278749.1549027736
863	278749.78503969294
864	278750.4129905101
865	278751.0387656194
866	278751.6623749308
867	278752.28382826137
868	278752.90313562093
869	278753.5203071673
870	278754.1353522893
871	278754.7482808285
872	278755.3591028195
873	278755.96782744816
874	278756.5744646703
875	278757.17902366864
876	278757.78151414683
877	278758.3819456731
878	278758.9803273962
879	278759.57666842814
880	278760.1709785253
881	278760.76326656307
882	278761.35354170593
883	278761.94181343686
884	278762.5280901211
885	278763.1123814356
886	278763.69469621073
887	278764.2750428309
888	278764.8534306971
889	278765.42986848525
890	278766.00436483964
891	278766.57692853815
892	278767.14756823966
893	278767.7162926828
894	278768.28310999845
895	278768.8480292548
896	278769.4110585616
897	278769.97220649914
898	278770.5314811986
899	278771.0888914634
900	278771.6444448674
901	278772.19815032056
902	278772.75001566595
903	278773.3000490859
904	278773.84825879557
905	278774.3946527218
906	278774.9392388129
907	278775.48202525236
908	278776.02301971166
909	278776.562230232
910	278777.09966479975
911	278777.63533076
912	278778.16923617746
913	278778.70138876844
914	278779.2317960428
915	278779.760465738
916	278780.2874054401
917	278780.8126225448
918	278781.3361247569
919	278781.85791949107
920	278782.3780137303
921	278782.89641560445
922	278783.4131319933
923	278783.9281699327
924	278784.441537568
925	278784.95324122766
926	278785.4632884618
927	278785.9716863734
928	278786.47844207566
929	278786.98356282606
930	278787.4870550718
931	278787.98892637104
932	278788.48918340623
933	278788.9878333431
934	278789.48488278367
935	278789.98033844394
936	278790.47420781595
937	278790.9664967415
938	278791.4572127427
939	278791.9463619507
940	278792.43395151774
941	278792.9199872968
942	278793.4044769972
943	278793.88742608536
944	278794.3688419803
945	278794.8487303993
946	278795.32709841395
947	278795.80395179545
948	278796.2792975715
949	278796.75314175116
950	278797.2254908105
951	278797.6963507977
952	278798.1657283538
953	278798.6336290705
954	278799.10005983897
955	278799.5650262073
956	278800.02853465953
957	278800.4905914299
958	278800.9512019711
959	278801.4103730868
960	278801.8681099573
961	278802.32441928214
962	278802.7793063951
963	278803.2327775438
964	278803.68483861943
965	278804.13549526525
966	278804.58475333534
967	278805.03261883534
968	278805.4790972346
969	278805.9241942259
970	278806.36791582825
971	278806.81026740454
972	278807.25125476863
973	278807.690883426
974	278808.1291589325
975	278808.56608692923
976	278809.00167257193
977	278809.43592219905
978	278809.8688403866
979	278810.3004328767
980	278810.73070522846
981	278811.1596626302
982	278811.587310705
983	278812.01365415356
984	278812.43869927945
985	278812.8624501531
986	278813.2849128933
987	278813.7060926345
988	278814.1259941869
989	278814.54462310777
990	278814.96198394836
991	278815.378082638
992	278815.7929236071
993	278816.2065123005
994	278816.6188534288
995	278817.0299522308
996	278817.43981391034
997	278817.84844278
998	278818.2558442557
999	278818.6620234302
